state,"Number of CHD per 100,000"
Alabama,112.6
Alaska,85.1
Arizona,117.2
Arkansas,154.8
California,129.1
Colorado,93.5
Connecticut,99.6
Delaware,134.2
Florida,124.7
Georgia,103.2
Hawaii,78.2
Idaho,104.2
Illinois,125.5
Indiana,127.3
Iowa,134.3
Kansas,105.9
Kentucky,141.8
Louisiana,130.9
Maine,107
Maryland,140.9
Massachusetts,106.1
Michigan,152.9
Minnesota,75.7
Mississippi,140.9
Missouri,148.5
Montana,93.4
Nebraska,94.3
Nevada,107.6
New Hampshire,119.2
New Jersey,132.8
New Mexico,111.5
New York,176.9
North Carolina,123.9
North Dakota,123
Ohio,142.2
Oklahoma,170.2
Oregon,94
Pennsylvania,130.6
Rhode Island,162.6
South Carolina,115.7
South Dakota,125.1
Tennessee,163.5
Texas,129.9
Utah,78.1
Vermont,114.6
Virginia,110.1
Washington,114.8
West Virginia,155.7
Wisconsin,107
Wyoming,110.4
