GEOID,Median_Income,Above Average Income
29001,16709,FALSE
29003,27083,TRUE
29005,23876,TRUE
29007,21649,FALSE
29009,21458,FALSE
29011,20487,FALSE
29013,21874,FALSE
29015,18219,FALSE
29017,21343,FALSE
29019,25094,TRUE
29021,23164,TRUE
29023,19521,FALSE
29025,25641,TRUE
29027,25042,TRUE
29029,21354,FALSE
29031,23073,TRUE
29033,20698,FALSE
29035,17484,FALSE
29037,30478,TRUE
29039,16845,FALSE
29041,21179,FALSE
29043,26365,TRUE
29045,24994,TRUE
29047,31184,TRUE
29049,27119,TRUE
29051,30736,TRUE
29053,24707,TRUE
29055,18954,FALSE
29057,19888,FALSE
29059,18990,FALSE
29061,22617,TRUE
29063,23053,TRUE
29065,18655,FALSE
29067,16448,FALSE
29069,17847,FALSE
29071,25022,TRUE
29073,21799,FALSE
29075,21782,FALSE
29077,22664,TRUE
29079,19080,FALSE
29081,21204,FALSE
29083,22947,TRUE
29085,17436,FALSE
29087,23655,TRUE
29089,23777,TRUE
29091,18330,FALSE
29093,18560,FALSE
29095,27066,TRUE
29097,22802,TRUE
29099,27700,TRUE
29101,22434,TRUE
29103,20870,FALSE
29105,20615,FALSE
29107,27115,TRUE
29109,21438,FALSE
29111,21154,FALSE
29113,26356,TRUE
29115,21466,FALSE
29117,24150,TRUE
29119,22028,TRUE
29121,21323,FALSE
29123,17877,FALSE
29125,21870,FALSE
29127,20761,FALSE
29129,22380,TRUE
29131,21154,FALSE
29133,15103,FALSE
29135,24964,TRUE
29137,23358,TRUE
29139,21511,FALSE
29141,19101,FALSE
29143,20206,FALSE
29145,22097,TRUE
29147,16298,FALSE
29149,17371,FALSE
29151,27955,TRUE
29153,18124,FALSE
29155,17603,FALSE
29157,26864,TRUE
29159,21580,FALSE
29161,21498,FALSE
29163,20669,FALSE
29165,36353,TRUE
29167,20531,FALSE
29169,20189,FALSE
29171,20527,FALSE
29173,24316,TRUE
29175,19839,FALSE
29177,25562,TRUE
29179,18904,FALSE
29181,16852,FALSE
29183,34801,TRUE
29185,17295,FALSE
29186,25324,TRUE
29187,19696,FALSE
29189,30885,TRUE
29195,21920,FALSE
29197,18918,FALSE
29199,21552,FALSE
29201,20831,FALSE
29203,18486,FALSE
29205,21654,FALSE
29207,21252,FALSE
29209,21017,FALSE
29211,21977,FALSE
29213,19496,FALSE
29215,18091,FALSE
29217,20732,FALSE
29219,26016,TRUE
29221,17532,FALSE
29223,17793,FALSE
29225,22180,TRUE
29227,23507,TRUE
29229,17219,FALSE
29510,22720,TRUE
