GEOID,Number_Black
29001,528
29003,230
29005,16
29007,1693
29009,63
29011,33
29013,85
29015,82
29017,30
29019,14421
29021,4680
29023,2388
29025,69
29027,1638
29029,223
29031,5934
29033,111
29035,4
29037,3663
29039,12
29041,174
29043,474
29045,18
29047,12442
29049,359
29051,8895
29053,1070
29055,54
29057,37
29059,13
29061,74
29063,1243
29065,62
29067,8
29069,3081
29071,1053
29073,66
29075,72
29077,8899
29079,84
29081,74
29083,379
29085,16
29087,16
29089,525
29091,125
29093,269
29095,161722
29097,2621
29099,2168
29101,2387
29103,23
29105,185
29107,661
29109,60
29111,305
29113,1033
29115,69
29117,392
29119,351
29121,425
29123,222
29125,38
29127,1622
29129,27
29131,110
29133,3443
29135,616
29137,237
29139,163
29141,251
29143,2975
29145,574
29147,663
29149,26
29151,114
29153,16
29155,4844
29157,151
29159,1202
29161,1128
29163,1195
29165,5976
29167,305
29169,6497
29171,20
29173,147
29175,1259
29177,312
29179,94
29181,33
29183,16829
29185,115
29186,130
29187,3158
29189,233777
29195,1150
29197,14
29199,44
29201,4406
29203,23
29205,100
29207,446
29209,32
29211,57
29213,442
29215,452
29217,189
29219,738
29221,491
29223,78
29225,491
29227,0
29229,147
29510,151566
