GEOID,Population_Estimate
29001,21427
29003,13870
29005,4455
29007,19212
29009,28709
29011,9604
29013,13016
29015,15949
29017,10003
29019,139718
29021,69403
29023,34046
29025,7079
29027,34416
29029,36787
29031,62583
29033,7303
29035,4999
29037,78851
29039,11083
29041,5984
29043,62691
29045,5503
29047,180527
29049,15895
29051,57869
29053,12853
29055,19515
29057,6193
29059,13108
29061,6302
29063,7573
29065,12444
29067,11007
29069,24101
29071,81002
29073,12021
29075,5262
29077,229310
29079,8001
29081,6716
29083,17756
29085,7978
29087,3713
29089,8140
29091,31637
29093,8123
29095,536256
29097,90957
29099,175428
29101,40576
29103,3182
29105,27972
29107,26041
29109,29638
29111,8052
29113,41619
29115,9899
29117,11112
29119,17663
29121,12140
29123,9776
29125,7277
29127,22446
29129,2931
29131,19830
29133,9732
29135,11196
29137,6970
29139,9257
29141,16261
29143,14435
29145,46228
29147,19076
29149,8816
29151,10908
29153,7962
29155,13697
29157,14939
29159,32609
29161,36163
29163,12959
29165,74073
29167,24816
29169,29595
29171,3973
29173,8397
29175,18408
29177,18335
29179,5309
29181,11236
29183,296562
29185,7817
29186,14448
29187,46842
29189,804917
29195,18424
29197,3429
29199,3620
29201,30791
29203,6719
29205,4789
29207,24009
29209,26587
29211,5183
29213,43726
29215,19258
29217,16205
29219,26165
29221,19095
29223,10983
29225,27544
29227,1662
29229,14427
29510,258042
