Geography,FIPS Code,Rank,Mapped Value,Count,
Adair,001,52,58,58,
Andrew,003,67,37,37,
Atchison,005,X,X,X,
Audrain,007,42,69,69,
Barry,009,30,102,102,
Barton,011,70,36,36,
Bates,013,51,60,60,
Benton,015,38,76,76,
Bollinger,017,92,24,24,
Boone,019,13,196,196,
Buchanan,021,11,221,221,
Butler,023,18,143,143,
Caldwell,025,97,21,21,
Callaway,027,33,97,97,
Camden,029,20,139,139,
Cape Girardeau,031,34,91,91,
Carroll,033,84,28,28,
Carter,035,90,25,25,
Cass,037,9,232,232,
Cedar,039,73,35,35,
Chariton,041,107,11,11,
Christian,043,15,165,165,
Clark,045,X,X,X,
Clay,047,7,372,372,
Clinton,049,46,65,65,
Cole,051,17,153,153,
Cooper,053,75,33,33,
Crawford,055,43,68,68,
Dade,057,86,27,27,
Dallas,059,62,44,44,
Daviess,061,96,22,22,
DeKalb,063,66,38,38,
Dent,065,47,63,63,
Douglas,067,78,30,30,
Dunklin,069,25,109,109,
Franklin,071,12,204,204,
Gasconade,073,60,45,45,
Gentry,075,105,13,13,
Greene,077,5,564,564,
Grundy,079,82,29,29,
Harrison,081,90,25,25,
Henry,083,36,81,81,
Hickory,085,99,19,19,
Holt,087,101,17,17,
Howard,089,97,21,21,
Howell,091,27,108,108,
Iron,093,58,50,50,
Jackson,095,2,1332,1332,
Jasper,097,8,267,267,
Jefferson,099,6,440,440,
Johnson,101,29,105,105,
Knox,103,110,7,7,
Laclede,105,23,121,121,
Lafayette,107,31,99,99,
Lawrence,109,31,99,99,
Lewis,111,X,X,X,
Lincoln,113,19,140,140,
Linn,115,78,30,30,
Livingston,117,67,37,37,
Macon,121,70,36,36,
Madison,123,63,42,42,
Maries,125,103,15,15,
Marion,127,49,62,62,
McDonald,119,64,40,40,
Mercer,129,109,8,8,
Miller,131,54,52,52,
Mississippi,133,67,37,37,
Moniteau,135,70,36,36,
Monroe,137,99,19,19,
Montgomery,139,86,27,27,
Morgan,141,53,56,56,
New Madrid,143,78,30,30,
Newton,145,24,110,110,
Nodaway,147,77,31,31,
Oregon,149,75,33,33,
Osage,151,78,30,30,
Ozark,153,89,26,26,
Pemiscot,155,84,28,28,
Perry,157,86,27,27,
Pettis,159,22,128,128,
Phelps,161,21,132,132,
Pike,163,47,63,63,
Platte,165,14,167,167,
Polk,167,55,51,51,
Pulaski,169,28,106,106,
Putnam,171,107,11,11,
Ralls,173,101,17,17,
Randolph,175,55,51,51,
Ray,177,55,51,51,
Reynolds,179,92,24,24,
Ripley,181,64,40,40,
Saline,195,39,73,73,
Schuyler,197,106,12,12,
Scotland,199,X,X,X,
Scott,201,35,85,85,
Shannon,203,92,24,24,
Shelby,205,104,14,14,
St. Charles,183,4,687,687,
St. Clair,185,82,29,29,
St. Francois,187,10,223,223,
St. Louis City,510,3,704,704,
St. Louis County,189,1,2004,2004,
Ste. Genevieve,186,60,45,45,
Stoddard,207,45,66,66,
Stone,209,25,109,109,
Sullivan,211,95,23,23,
Taney,213,16,154,154,
Texas,215,44,67,67,
Vernon,217,58,50,50,
Warren,219,37,78,78,
Washington,221,39,73,73,
Wayne,223,74,34,34,
Webster,225,41,72,72,
Worth,227,110,7,7,
Wright,229,50,61,61,
